"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (X)","Coordenada UTM (Y)","Longitud","Latitud"
"2017S010241    ",3,"Sants-Montjuïc",18,"Sants",227800,"Nicaragua / Josep Tarradellas                     ","0023 0025","Dilluns","Dl","Laboral","2017",12,"Desembre","11","09","Matí","Desobeir el senyal del semàfor",0,1,0,1,1,"428352,42","4581787,37","2.142413","41.382401"
"2017S010745    ",3,"Sants-Montjuïc",18,"Sants",231502,"Numància                                          ","0002 0002","Divendres","Dv","Laboral","2017",12,"Desembre","29","09","Matí","No és causa del  vianant",0,1,0,1,2,"428310,43","4581654,66","2.141501","41.381378"
"2017S002291    ",4,"Les Corts",19,"les Corts",352904,"BERLÍN / Nicaragua                                ","0133B0133B","Dimecres","Dc","Laboral","2017",3,"Març","22","11","Matí","No és causa del  vianant",0,1,0,1,2,"427746,38","4581809,96","2.140353","41.383942"
"2017S005267    ",3,"Sants-Montjuïc",18,"Sants",313301,"Melcior de Palau / STA CATERINA                   ","0061 0061","Divendres","Dv","Laboral","2017",6,"Juny","16","08","Matí","No és causa del  vianant",0,1,0,1,2,"427811,40","4581509,95","2.130154","41.378114"
"2017S002505    ",3,"Sants-Montjuïc",18,"Sants",313607,"SANTA CATERINA                                    ","0005 0005","Dimecres","Dc","Laboral","2017",3,"Març","29","09","Matí","No és causa del  vianant",0,1,0,1,1,"427830,98","4581370,71","2.137288","41.378"
"2017S008907    ",3,"Sants-Montjuïc",18,"Sants",366206,"Josep Tarradellas / Numància                      ","0053 0053","Divendres","Dv","Laboral","2017",10,"Octubre","27","18","Tarda","No és causa del  vianant",0,1,0,1,2,"428306,42","4581588,87","2.142525","41.380617"
"2017S001810    ",3,"Sants-Montjuïc",18,"Sants",7407,"PUIGGARÍ                                          ","0033 0033","Diumenge","Dg","Laboral","2017",3,"Març","5","01","Nit","No és causa del  vianant",0,1,0,1,3,"427880,75","4581135,76","2.138677","41.380295"
"2017S006951    ",3,"Sants-Montjuïc",18,"Sants",88001,"Robrenyo / Comtes de Bell-lloc                    ","0113 0113","Diumenge","Dg","Laboral","2017",8,"Agost","13","06","Matí","No és causa del  vianant",0,3,0,3,2,"427917,19","4581630,09","2.136834","41.381242"
"2017S009470    ",4,"Les Corts",19,"les Corts",227800,"Nicaragua                                         ","0079 0079","Dimecres","Dc","Laboral","2017",11,"Novembre","15","12","Matí","No és causa del  vianant",0,0,0,0,2,"428156,62","4581994,37","2.139787","41.384582"
"2017S000088    ",3,"Sants-Montjuïc",18,"Sants",98005,"SANTS / Rbla Brasil                               ","0034 0034","Dimecres","Dc","Laboral","2017",1,"Gener","4","21","Tarda","No és causa del  vianant",0,1,0,1,2,"427509,13","4580863,62","2.130464","41.375494"
"2017S004458    ",3,"Sants-Montjuïc",18,"Sants",312400,"Sants / Espanya Industrial                        ","0015 0015","Divendres","Dv","Laboral","2017",5,"Maig","19","22","Nit","No és causa del  vianant",0,1,0,1,2,"428196,56","4580970,53","2.140452","41.375307"
"2017S000625    ",3,"Sants-Montjuïc",18,"Sants",173905,"RDA MIG(ASCENDENT)                                ","0140 0140","Dimarts","Dm","Laboral","2017",1,"Gener","24","08","Matí","No és causa del  vianant",0,1,0,1,2,"427838,00","4580559,80","2.132557","41.371486"
"2017S003315    ",3,"Sants-Montjuïc",18,"Sants",30602,"Mig (Ascendent)                                   ","0112 0114","Dimarts","Dm","Laboral","2017",4,"Abril","11","17","Tarda","No és causa del  vianant",0,2,0,2,2,"427540,32","4580521,15","2.128001","41.382867"
"2017S001893    ",3,"Sants-Montjuïc",18,"Sants",30602,"SANTS                                             ","0112 0114","Dimecres","Dc","Laboral","2017",3,"Març","8","12","Matí","No és causa del  vianant",0,1,0,1,2,"427540,32","4580521,15","2.1334","41.375358"
"2017S005218    ",3,"Sants-Montjuïc",18,"Sants",51001,"Bonaventura Pollés                                ","0021 0021","Dimecres","Dc","Laboral","2017",6,"Juny","14","19","Tarda","Transitar a peu per la calçada",0,0,1,1,1,"427569,20","4580566,87","2.132767","41.371515"
"2017S001431    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",257007,"RDA MIG (DESCEND)                                 ","0012 0012","Dimarts","Dm","Laboral","2017",2,"Febrer","21","10","Matí","No és causa del  vianant",0,1,0,1,2,"426765,12","4581316,98","2.126951","41.383072"
